name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,170,7111954110,,,,,primary,0,80.219533,12.9915378,,,
,171,2147552429,,171,,,footway,1,80.242886,12.9915152,,,
,172,2147552423,,,,,footway,0,80.242844,12.9910598,,,
,173,1184617250,,,,,primary,0,80.2171871,12.9947733,,,
,174,366081887,,174,,,primary,-1,80.2170765,12.9949248,,,
,175,338406792,traffic_signals,,signal,,primary,0,80.219489,12.9916067,,,
,176,4314770660,,176,,,primary,1,80.2177247,13.0003399,,,
,177,300195704,,,,,primary,0,80.2185573,13.0015756,,,
,178,6444634790,,,,,primary,0,80.2219523,13.0091056,,,
,179,2241058339,,179,,,primary,-1,80.2223523,13.0098728,,,
,180,2158652118,,180,,,footway,-1,80.2494128,12.9949834,,,
,181,2158652117,,181,,,footway,1,80.2508409,12.9890366,,,
,182,2164168473,,182,,,footway,1,80.233301,12.9873055,,,
,183,330654009,,183,,,footway,-1,80.2344302,12.987033,,,
,184,2164173907,,,,,footway,0,80.2311439,12.9896974,,,
,185,2164173903,,185,,,footway,-1,80.2308286,12.9894828,,,
,186,330775560,,186,,,footway,1,80.2323304,12.9895666,,,
,187,2164185726,,,,,footway,0,80.2322569,12.9895647,,,
,188,2164185724,,188,,,footway,-1,80.2322092,12.9895645,,,
,189,3373061102,,,,,tertiary,0,80.2298455,12.9857119,,,
,190,300312789,,,,,tertiary,0,80.2245841,12.9865442,,,
,191,2197821084,,191,,,trunk,1,80.2279309,13.0099411,,,
,192,2197821077,,192,,,trunk,-1,80.2275781,13.0095686,,,
,193,268789820,traffic_signals,,signal,,secondary,0,80.2402074,13.0067417,,,
,194,1812533141,,194,,,secondary,-1,80.2404375,13.009688,,,
,195,5562486549,,,,,primary,0,80.2497045,12.9943433,,,
,196,1676204899,,,,,primary,0,80.2516363,12.9879526,,,
,197,249493598,,197,,,tertiary,2,80.2488098,13.0097576,,,
,198,269766499,,198,,,primary,-1,80.2279009,13.0092888,,,
,199,2164173912,,199,,,footway,1,80.2308914,12.9897537,,,
,200,670703205,,200,,,footway,-1,80.2313045,12.9896918,,,
,201,3334219693,,201,,,cycleway,1,80.2320347,12.9851318,,,
,202,3334219694,,202,,,footway,1,80.2433096,12.99151,,,
,203,3334219698,,203,,,footway,-1,80.2434916,12.9919945,,,
,204,2147552426,,204,,,footway,-1,80.2419595,12.9911179,,,
,205,3373061104,,205,,,footway,-1,80.2298697,12.9858066,,,
,206,1364815697,,,,,primary,0,80.2336334,12.9815277,,,
,207,338461488,,,,,primary,0,80.2342022,12.9812879,,,
,208,338461708,,,,,primary,0,80.2359288,12.9812336,,,
,209,268789818,,,,,primary,0,80.2413438,13.0065755,,,
,210,325207131,,,,,tertiary,0,80.2218285,12.9842286,,,
,211,249112805,,,,,tertiary,0,80.2212303,12.9842751,,,
,212,3800594924,,212,,,footway,1,80.2389078,13.0044342,,,
,213,3800399724,,,,,footway,0,80.2380932,13.003814,,,
,214,3800399728,,,,,footway,0,80.2377147,13.0038809,,,
,215,3800399755,,,,,footway,0,80.2353097,13.0043204,,,
,216,3800620987,,216,,,footway,1,80.2379643,13.0045353,,,
,217,3800620984,,217,,,footway,-1,80.2387975,13.0044472,,,
,218,3800400272,,,,,footway,0,80.2368046,13.0055303,,,
,219,3800620988,,219,,,footway,-1,80.2377315,13.0045599,,,
,220,3800399753,,,,,footway,0,80.2377763,13.0041706,,,
,221,3800620993,,221,,,footway,-1,80.2389574,13.004909,,,
,222,3800620989,,222,,,footway,1,80.2365596,13.0046838,,,
,223,3910184072,,223,,,footway,-1,80.2376912,13.0045642,,,
,224,330654083,,224,,,footway,1,80.2371675,12.9852566,,,
,225,330654111,,225,,,footway,-1,80.2383677,12.9850884,,,
,226,338461580,,,,,primary,0,80.2336548,12.9814364,,,
,227,4226494690,,,,,primary,0,80.2307039,12.9816725,,,
,228,1641560828,,228,,,primary,-1,80.2302983,12.9814264,,,
,229,251172939,,,,,primary,0,80.2322124,12.9820354,,,
,230,251172944,,,,,primary,0,80.2306639,12.9817389,,,
,231,4278323790,,,,,tertiary,0,80.231374,12.9834894,,,
,232,4278323793,,232,,,footway,-1,80.2308551,12.983532,,,
,233,1453387479,,233,,,tertiary,2,80.2496121,12.9980662,,,
,234,6823702049,,,,,tertiary,0,80.2498291,12.9971398,,,
,235,6823702047,,,,,tertiary,0,80.2499735,12.9965229,,,
,236,1453387473,,236,,,tertiary,2,80.2502191,12.9954744,,,
,237,2623043962,crossing,,,,tertiary,0,80.2179846,12.9842469,,,
,238,3728970243,,238,,,cycleway,-1,80.2306858,12.9831044,,,
,239,2167078779,,239,,,footway,1,80.2359611,12.9877501,,,
,240,4690195809,,,,,footway,0,80.2355743,12.9872138,,,
,241,4690195810,,241,,,footway,-1,80.2349972,12.9871657,,,
,242,319489524,,242,,,primary,-1,80.2544302,12.9878662,,,
,243,6444634789,,,,,primary,0,80.2220631,13.009032,,,
,244,366081876,,,,,primary,0,80.2186228,13.0015303,,,
,245,366081878,,245,,,primary,-1,80.2170049,12.9989304,,,
,246,256035585,,246,,,primary,1,80.2280701,13.0097501,,,
,247,4690179200,,247,,,footway,1,80.2351348,12.985159,,,
,248,5628388491,,248,,,footway,-1,80.2351334,12.9849174,,,
,249,5628388500,,249,,,footway,1,80.232707,12.9848708,,,
,250,5628388501,,250,,,footway,-1,80.2327077,12.9844509,,,
,251,5628390325,,251,,,footway,1,80.2301824,12.9911261,,,
,252,5628390326,,252,,,footway,-1,80.2301902,12.9908171,,,
,253,3371735081,,253,,,footway,1,80.2338779,12.9930616,,,
,254,5628390329,,254,,,footway,-1,80.2341545,12.9930987,,,
,255,304914007,,255,,,footway,1,80.2299636,12.9915814,,,
,256,5632367703,,256,,,footway,-1,80.2300996,12.9915824,,,
,257,5912533549,,,,,footway,0,80.2415216,12.9899955,,,
,258,5912533547,,258,,,footway,-1,80.2417907,12.9900006,,,
,259,5912533555,,259,,,footway,1,80.2415662,12.9898604,,,
,260,5912533553,,,,,footway,0,80.2415124,12.9899852,,,
,261,6387120749,,,,,footway,0,80.2472921,12.9913378,,,
,262,6387120750,,,,,footway,0,80.247317,12.9913229,,,
,263,6387120756,,,,,footway,0,80.2474866,12.9914372,,,
,264,6387120758,,,,,footway,0,80.2474159,12.991536,,,
,265,6387120766,,,,,footway,0,80.2476293,12.9914348,,,
,266,6387120769,,,,,footway,0,80.2476723,12.9915315,,,
,267,6387120772,,,,,footway,0,80.2477829,12.9915474,,,
,268,6387120775,,,,,footway,0,80.2478545,12.9914532,,,
,269,6387120778,,,,,footway,0,80.2477893,12.9913449,,,
,270,6387120780,,,,,footway,0,80.2477314,12.9913352,,,
,271,6387120885,,,,,footway,0,80.247992,12.991455,,,
,272,6387120925,,,,,footway,0,80.2480378,12.9915427,,,
,273,6387120909,,,,,footway,0,80.2480792,12.9913404,,,
,274,6574446278,,274,,,footway,1,80.2424937,12.9903366,,,
,275,6574446277,,275,,,footway,-1,80.242639,12.9903312,,,
,276,6574446280,,,,,footway,0,80.2429342,12.9907787,,,
,277,3804881523,,277,,,footway,-1,80.2427355,12.9907845,,,
,278,6574446284,,278,,,footway,1,80.2429321,12.9905589,,,
,279,6574446281,,279,,,footway,-1,80.2429503,12.991085,,,
,280,4265654365,,,,,primary,0,80.2183224,12.987288,,,
,281,299878698,,281,,,primary,-1,80.218178,12.9810678,,,
,282,6823682093,,282,,,footway,1,80.2512065,12.9889195,,,
,283,6823682094,,283,,,footway,-1,80.2513495,12.9889414,,,
,284,6823702048,,284,,,footway,-1,80.2497204,12.9964625,,,
,285,6823702050,,285,,,footway,-1,80.2495682,12.9970734,,,
,286,6846545935,,286,,,footway,-1,80.2476836,13.0058101,,,
,287,6387120733,,287,,,footway,1,80.2471351,12.99132,,,
,288,8438557333,,288,,,footway,1,80.2423222,12.9814479,,,
,289,8438557335,,,,,footway,0,80.2426003,12.9814679,,,
,290,8438557338,,290,,,footway,-1,80.2426154,12.981167,,,
,291,9399815492,,291,,,footway,1,80.2426603,12.981191,,,
,292,9399815490,,292,,,footway,1,80.2426245,12.9814547,,,
,293,8438557336,,293,,,footway,1,80.2423417,12.9811903,,,
,294,9179599608,,294,,,tertiary,2,80.249923,12.9850503,,,
,295,2157511345,,295,,,primary,1,80.2172714,12.9948296,,,
,296,319489538,,296,,,primary,-1,80.2526935,12.9819971,,,
,297,9507417046,,,,,footway,0,80.2501345,12.9921837,,,
,298,9507417047,,298,,,footway,-1,80.2501595,12.9920392,,,
,299,9507417044,,,,,footway,0,80.2505273,12.9919473,,,
,300,9507417045,,,,,footway,0,80.2506047,12.9919007,,,
,301,9507417039,,301,,,footway,-1,80.2509803,12.9903665,,,
,302,9507417048,,302,,,footway,1,80.2501219,12.9922561,,,
,303,319489540_1183430691_246866721,traffic_signals,,signal,,primary,0,80.251756,12.9863676,0,,
,304,243051703_312031412,traffic_signals,,signal,,primary,0,80.2516623,13.006728,1,,
,305,1454664555_4113412285_338470503_1454664553,traffic_signals,,signal,,primary,0,80.2432119,12.9813238,2,,
,306,310102870_312031374,traffic_signals,,signal,,primary,0,80.2474589,13.0067073,3,,
,307,310535870_30268467_310102882,traffic_signals,,signal,,primary,0,80.2513935,12.9878632,4,,
