name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2,activity_zone_id,production,attraction
TIDEL Park,10,28234109.0,,office,,,,"POLYGON ((80.24951609999999 12.989966, 80.24912930000001 12.9899725, 80.24912740000001 12.9898623, 80.24823979999999 12.9898772, 80.24823000000001 12.9893247, 80.2489403 12.9893128, 80.2491184 12.9893098, 80.2491167 12.9892084, 80.2495026 12.9892019, 80.24951609999999 12.989966))",POINT (80.2489183 12.9895912),9427.0,101471.3,39,116.69209084191999,10.147138334080003
,11,28234120.0,,,college,,,"POLYGON ((80.2449996 13.0065297, 80.2447749 13.005109, 80.2451205 13.0051038, 80.2453343 13.0011553, 80.2437072 13.0010658, 80.24364540000001 13.0009287, 80.24372409999999 13.000172, 80.24355319999999 12.9988595, 80.24354839999999 12.998823, 80.2433078 12.9977095, 80.2436732 12.9977248, 80.2437991 12.9966538, 80.2443518 12.996619, 80.2443672 12.9940361, 80.24344670000001 12.9940098, 80.2434042 12.993082, 80.2442824 12.9929049, 80.2439425 12.9922675, 80.244238 12.9919536, 80.2501352 12.9918801, 80.2483823 12.9988033, 80.2474211 13.0031443, 80.2472329 13.004424, 80.24712649999999 13.0053995, 80.24704010000001 13.005872, 80.24677560000001 13.0062795, 80.2465323 13.0064373, 80.2461211 13.0065903, 80.2449996 13.0065297))",POINT (80.24641219999999 12.9977652),0.0,7596629.6,23,0.0,0.0
,12,28404790.0,,yes,,,,"POLYGON ((80.2354538 13.0070534, 80.2354113 13.0068301, 80.2356343 13.0067877, 80.23567679999999 13.007011, 80.2354538 13.0070534))",POINT (80.235544 13.0069205),618.8,6660.2,5,6.66070775552,6.66070775552
,13,28404791.0,,yes,,,,"POLYGON ((80.2361375 13.0068179, 80.2361173 13.0066276, 80.2362947 13.0066088, 80.2363149 13.006799, 80.2361375 13.0068179))",POINT (80.23621609999999 13.0067133),409.3,4405.6,5,4.40566852672,4.40566852672
,14,28404792.0,,yes,,,,"POLYGON ((80.23647080000001 13.0066486, 80.23643970000001 13.0063684, 80.2365527 13.0063558, 80.2365839 13.0066361, 80.23647080000001 13.0066486))",POINT (80.2365118 13.0065022),384.6,4140.0,5,4.1397999398400005,4.1397999398400005
,15,28404793.0,,yes,,,,"POLYGON ((80.23665250000001 13.0066323, 80.2366292 13.0064028, 80.2367533 13.0063903, 80.2367765 13.0066197, 80.23665250000001 13.0066323))",POINT (80.2367029 13.0065113),344.8,3711.7,5,3.71139630592,3.71139630592
,16,28404794.0,,yes,,,,"POLYGON ((80.2370842 13.0066174, 80.2371698 13.0066497, 80.2372554 13.006663, 80.2373621 13.0066641, 80.2374454 13.0066519, 80.2375132 13.0066274, 80.237571 13.006593, 80.2376222 13.0065474, 80.2376866 13.006483, 80.2376144 13.0063807, 80.2375632 13.0063185, 80.23749100000001 13.0062751, 80.2374087 13.0062618, 80.23733319999999 13.0062595, 80.2372609 13.0062796, 80.23719869999999 13.0063107, 80.2371509 13.0063529, 80.2371153 13.0064052, 80.2370964 13.0064818, 80.2370842 13.006553, 80.2370842 13.0066174))",POINT (80.2373631 13.0064704),2192.9,23603.7,5,23.60417911616,23.60417911616
,17,28404798.0,,yes,,,,"POLYGON ((80.2391052 13.0065735, 80.2392016 13.0065569, 80.23925699999999 13.0064707, 80.23923979999999 13.006384, 80.2391617 13.0063324, 80.23905860000001 13.0063491, 80.23900759999999 13.0064269, 80.2390266 13.0065185, 80.2391052 13.0065735))",POINT (80.23913229999999 13.0064518),534.9,5757.1,5,5.75761567296,5.75761567296
,18,28404807.0,,,hospital,,,"POLYGON ((80.23970780000001 13.0040368, 80.2390386 13.0043372, 80.2392002 13.005289, 80.2396983 13.0067952, 80.2404107 13.0066617, 80.2400846 13.0049544, 80.23970780000001 13.0040368))",POINT (80.2397237 13.0054383),26272.1,282790.3,5,28.279053041984003,28.279053041984003
The Hindu Senior Secondary School,19,28405760.0,,,school,,,"POLYGON ((80.2531092 12.9976112, 80.25369310000001 12.998122, 80.2540422 12.9981127, 80.25403369999999 12.9973608, 80.2533557 12.9966643, 80.2531092 12.9976112))",POINT (80.25360619999999 12.9974906),10161.6,109378.4,24,10.937855192064003,10.937855192064003
Indira Nagar Park,20,28405770.0,,,,park,,"POLYGON ((80.2520706 12.9985267, 80.2523386 12.9989201, 80.2529311 12.998925, 80.2529238 12.9985563, 80.2526754 12.9982219, 80.2521813 12.9980989, 80.2520706 12.9985267))",POINT (80.2525048 12.9985511),6290.4,67709.4,24,6.770930198016001,6.770930198016001
Guru Nanak School,21,28507306.0,,,school,,,"POLYGON ((80.2200826 12.9910029, 80.2204492 12.9913419, 80.2208011 12.991091, 80.2212474 12.990932, 80.221728 12.9908902, 80.2214694 12.9904895, 80.22105860000001 12.9898532, 80.2200826 12.9910029))",POINT (80.2208893 12.9906699),12959.3,139492.9,26,13.949274404672002,13.949274404672002
Guru Nanak College,22,28507322.0,,,college,,,"POLYGON ((80.2204492 12.9913419, 80.22033089999999 12.9913364, 80.2216224 12.9941493, 80.2229442 12.9935221, 80.2225802 12.9922157, 80.22248930000001 12.9921672, 80.2231673 12.9894909, 80.2214694 12.9904895, 80.221728 12.9908902, 80.2212474 12.990932, 80.2208011 12.991091, 80.2204492 12.9913419))",POINT (80.22188679999999 12.9919427),79753.5,858458.5,26,85.84595280864,85.84595280864
,23,28564564.0,,,,sports_centre,,"POLYGON ((80.2504622 12.9979144, 80.25102459999999 12.9980698, 80.25114120000001 12.9976479, 80.2505788 12.9974925, 80.2504622 12.9979144))",POINT (80.2508017 12.9977811),3062.8,32967.3,24,3.2967704773120006,3.2967704773120006
Tt Ranganathan Clinical Research Foundation,24,29046387.0,,hospital,hospital,,,"POLYGON ((80.2549327 12.9928054, 80.25491769999999 12.9923158, 80.25498640000001 12.9923138, 80.25498210000001 12.9921717, 80.2549133 12.9921737, 80.25490430000001 12.99188, 80.2549327 12.9928054))",POINT (80.2549499 12.9922439),117.3,1262.9,32,1.2247284892224,0.126260668992
,25,29046450.0,,,,park,,"POLYGON ((80.2537389 12.9856918, 80.2542005 12.9856645, 80.2540912 12.9851884, 80.2538165 12.9852028, 80.2537389 12.9856918))",POINT (80.2539623 12.9854573),2134.5,22975.5,40,2.29755667488,2.29755667488
Corporation School,26,29046739.0,,,school,,,"POLYGON ((80.25443629999999 12.9901518, 80.25463569999999 12.9896826, 80.2544242 12.989916, 80.25443629999999 12.9901518))",POINT (80.2544987 12.9899168),316.0,3401.2,40,0.34013956864000006,0.34013956864000006
Chemplast Cricket Ground,27,29502885.0,,,,pitch,,"POLYGON ((80.2269677 12.9882466, 80.2268844 12.9885495, 80.2266568 12.9887713, 80.22634600000001 12.9888524, 80.2260351 12.9887713, 80.2258075 12.9885495, 80.2257242 12.9882466, 80.2258075 12.9879437, 80.2260351 12.9877219, 80.22634600000001 12.9876407, 80.2266568 12.9877219, 80.2268844 12.9879437, 80.2269677 12.9882466))",POINT (80.22634600000001 12.9882466),13552.3,145875.8,35,14.587574291392,14.587574291392
,28,30023943.0,,,parking,,,"POLYGON ((80.24179340000001 13.0063982, 80.2417469 13.0060345, 80.2418862 13.0060167, 80.24193270000001 13.0063804, 80.24179340000001 13.0063982))",POINT (80.24183979999999 13.0062074),617.5,6646.4,6,0.6646714672,0.6646714672
Vanavani Matriculation Higher Secondary School,29,30026135.0,,,school,,,"POLYGON ((80.2387652 12.9989899, 80.2391942 12.9987895, 80.2388936 12.9980411, 80.2384802 12.9975871, 80.23810760000001 12.9973585, 80.2376285 12.9976497, 80.2387652 12.9989899))",POINT (80.2384653 12.9981387),13566.0,146022.7,21,14.60232084864,14.60232084864
,30,30026138.0,,yes,,,,"POLYGON ((80.2383291 12.9984105, 80.2385484 12.9986482, 80.238777 12.9989484, 80.23909329999999 12.9988052, 80.23898010000001 12.9984359, 80.2389155 12.9984636, 80.2390194 12.9987868, 80.23881849999999 12.9988791, 80.2385992 12.998579, 80.23839049999999 12.9983666, 80.2383291 12.9984105))",POINT (80.2387461 12.9986682),1101.1,11852.0,21,11.85214174144,11.85214174144
,31,30026139.0,,,school,,,"POLYGON ((80.23842759999999 12.9987318, 80.23799870000001 12.9994732, 80.2382101 13.0000523, 80.23879220000001 12.9996295, 80.2389424 12.9994119, 80.23842759999999 12.9987318))",POINT (80.23843429999999 12.9994196),7770.8,83644.2,21,8.364419493632003,8.364419493632003
,32,30026140.0,,yes,,,,"POLYGON ((80.23831269999999 12.9992677, 80.2384345 12.999267, 80.2385555 12.999296, 80.2385668 12.9992028, 80.23843979999999 12.9991717, 80.2383212 12.9991745, 80.23831269999999 12.9992677))",POINT (80.23843979999999 12.9992274),278.9,3001.6,21,3.0020546105599997,3.0020546105599997
Metal forming,33,30026987.0,,yes,,,,"POLYGON ((80.2312541 12.992722, 80.2310671 12.9927132, 80.2310693 12.9924133, 80.231267 12.992443, 80.2312541 12.992722))",POINT (80.23116330000001 12.9925714),669.4,7205.7,28,7.20536162176,7.20536162176
IITM Hospital,34,30026990.0,,hospital,,,,"POLYGON ((80.2313487 12.9931905, 80.23165779999999 12.9931893, 80.2316575 12.9930959, 80.2318811 12.9930951, 80.2318806 12.992962, 80.2316922 12.9929628, 80.23169179999999 12.9928716, 80.2313419 12.9928729, 80.23134229999999 12.9929907, 80.23156299999999 12.9929899, 80.2315634 12.9930994, 80.2313484 12.9931002, 80.2313487 12.9931905))",POINT (80.2315902 12.9930235),1298.2,13973.2,28,13.554497226841601,1.397370848128
Kendriya Vidyalaya Sangathan Chennai Region,35,30029198.0,,yes,,,,"POLYGON ((80.2329237 12.9947205, 80.2329567 12.9943688, 80.23335230000001 12.9943935, 80.2333304 12.9947479, 80.2329237 12.9947205))",POINT (80.2331409 12.9945585),1707.0,18374.1,28,18.3739950528,18.3739950528
,36,30029243.0,,yes,,,,"POLYGON ((80.2251018 13.005731, 80.22492819999999 13.005745, 80.22491239999999 13.0055484, 80.22485880000001 13.0055525, 80.2248508 13.0054526, 80.22490430000001 13.0054485, 80.22489229999999 13.0052983, 80.2250659 13.0052843, 80.2251018 13.005731))",POINT (80.2249896 13.0055137),1000.6,10770.5,2,10.77036874624,10.77036874624
Administration Building,37,30029289.0,,yes,,,,"POLYGON ((80.2331159 12.9908719, 80.2331159 12.99069, 80.2325951 12.99069, 80.2325951 12.9908719, 80.2331159 12.9908719))",POINT (80.2328555 12.990781),1136.1,12228.8,28,12.228878605439998,12.228878605439998
,38,30036618.0,,yes,,,,"POLYGON ((80.2336059 12.9936198, 80.23361269999999 12.9937118, 80.2337881 12.9936989, 80.2337813 12.993607, 80.2336059 12.9936198))",POINT (80.23369700000001 12.9936594),194.5,2093.2,28,2.0935805728,2.0935805728
India Post - IITM Branch,39,30036619.0,,yes,post_office,,,"POLYGON ((80.23388370000001 12.9935533, 80.233887 12.9936685, 80.23402179999999 12.9936647, 80.2340185 12.9935495, 80.23388370000001 12.9935533))",POINT (80.2339528 12.993609),186.4,2006.2,28,2.00639289856,2.00639289856
State Bank of India -IITM Branch,40,30036620.0,,yes,bank,,,"POLYGON ((80.23429230000001 12.9932678, 80.23417550000001 12.9932256, 80.2342731 12.9929694, 80.2343898 12.9930116, 80.23429230000001 12.9932678))",POINT (80.23428269999999 12.9931186),408.1,4392.5,28,4.392751834240001,4.392751834240001
Bose-Einstein Guest House,41,30036622.0,,yes,,,,"POLYGON ((80.23422429999999 12.9925856, 80.2343721 12.9924477, 80.2345052 12.9925856, 80.2344066 12.9926596, 80.23444600000001 12.9927581, 80.2343573 12.9928025, 80.23426790000001 12.9928066, 80.2341673 12.9927341, 80.23422429999999 12.9925856))",POINT (80.2343312 12.9926468),831.8,8953.1,28,8.95342067072,8.95342067072
,42,30036682.0,,yes,,,,"POLYGON ((80.2348983 12.9906295, 80.235287 12.9905849, 80.2352521 12.990281, 80.2348635 12.9903256, 80.2348983 12.9906295))",POINT (80.2350752 12.9904553),1435.1,15447.2,29,15.44728781504,15.44728781504
Students Activity Centre (SAC),43,30037051.0,,university,,,,"POLYGON ((80.2375912 12.989649, 80.2375028 12.9891189, 80.2381024 12.9891063, 80.23816549999999 12.9894344, 80.2375912 12.989649))",POINT (80.2378178 12.9893322),3123.7,33622.8,37,39.3391754922816,3.3623226916480005
Alaknanda,44,30037267.0,,yes,,,,"POLYGON ((80.23962969999999 12.985477, 80.2396292 12.9850204, 80.2391769 12.9850249, 80.2391768 12.9849686, 80.23909380000001 12.9849687, 80.2390939 12.9850222, 80.2386786 12.9850213, 80.2386707 12.9850999, 80.2385099 12.9851, 80.23851019999999 12.9854026, 80.2386707 12.9854025, 80.238679 12.9854779, 80.2390992 12.9854828, 80.23909930000001 12.985531, 80.2391689 12.985531, 80.2391688 12.9854828, 80.23962969999999 12.985477))",POINT (80.23909519999999 12.9852507),5936.1,63896.0,37,63.89564852544,63.89564852544
,45,30037268.0,,,,garden,,"POLYGON ((80.2387142 12.9854166, 80.2387157 12.9850966, 80.2395418 12.9851005, 80.2395404 12.9854205, 80.2387142 12.9854166))",POINT (80.23912799999999 12.9852586),3170.6,34127.9,37,3.4128054314239997,3.4128054314239997
Jamuna,46,30037269.0,,yes,,,,"POLYGON ((80.2394537 12.9863835, 80.23945329999999 12.9859269, 80.23900089999999 12.9859273, 80.23900089999999 12.985875, 80.2389179 12.9858751, 80.2389179 12.9859274, 80.2385026 12.9859278, 80.2385027 12.9860063, 80.23833399999999 12.9860065, 80.23833430000001 12.9863091, 80.23850299999999 12.9863089, 80.2385031 12.9863844, 80.2389233 12.986384, 80.2389233 12.9864375, 80.23899299999999 12.9864374, 80.2389929 12.9863839, 80.2394537 12.9863835))",POINT (80.2389199 12.9861555),5914.6,63664.5,37,63.664224451840006,63.664224451840006
,47,30037270.0,,,,garden,,"POLYGON ((80.23853819999999 12.9863231, 80.2385397 12.9860031, 80.2393659 12.9860069, 80.2393644 12.9863269, 80.23853819999999 12.9863231))",POINT (80.238952 12.986165),3170.8,34129.8,37,3.4130207096320007,3.4130207096320007
,48,30037271.0,,,,garden,,"POLYGON ((80.2396913 12.9868745, 80.2396928 12.9865545, 80.24051900000001 12.9865584, 80.2405175 12.9868784, 80.2396913 12.9868745))",POINT (80.2401052 12.9867164),3170.8,34129.8,38,3.4130207096320007,3.4130207096320007
Mandakini,49,30037272.0,,yes,,,,"POLYGON ((80.24060679999999 12.9869349, 80.2406064 12.9864783, 80.240154 12.9864787, 80.2401539 12.9864265, 80.24007090000001 12.9864266, 80.240071 12.9864788, 80.2396557 12.9864792, 80.2396557 12.9865578, 80.239487 12.9865579, 80.23948729999999 12.9868605, 80.239656 12.9868604, 80.2396561 12.9869358, 80.2400763 12.9869354, 80.24007640000001 12.986989, 80.240146 12.9869889, 80.2401459 12.9869354, 80.24060679999999 12.9869349))",POINT (80.240073 12.986707),5915.3,63672.2,38,63.67175918912,63.67175918912
,50,30037273.0,,,,garden,,"POLYGON ((80.23825290000001 12.9873758, 80.2382544 12.9870558, 80.2390805 12.9870597, 80.239079 12.9873797, 80.23825290000001 12.9873758))",POINT (80.2386667 12.9872178),3170.4,34125.6,37,3.4125901532160006,3.4125901532160006
Ganga,51,30037274.0,,yes,,,,"POLYGON ((80.2391684 12.9874362, 80.2391679 12.9869796, 80.23871560000001 12.9869801, 80.2387155 12.9869278, 80.23863249999999 12.9869279, 80.2386326 12.9869801, 80.2382173 12.9869805, 80.2382173 12.9870591, 80.2380486 12.9870592, 80.2380489 12.9873619, 80.2382176 12.9873617, 80.23821770000001 12.9874371, 80.2386379 12.9874367, 80.23863799999999 12.9874903, 80.2387076 12.9874902, 80.2387075 12.9874367, 80.2391684 12.9874362))",POINT (80.2386345 12.9872083),5914.9,63667.3,37,63.66745362496,63.66745362496
Godavari,52,30037275.0,,yes,,,,"POLYGON ((80.2376143 12.9861791, 80.23761380000001 12.9857225, 80.2371615 12.9857229, 80.23716140000001 12.9856707, 80.2370784 12.9856707, 80.2370785 12.985723, 80.2366632 12.9857234, 80.2366632 12.9858019, 80.23649450000001 12.9858021, 80.2364948 12.9861047, 80.23666350000001 12.9861045, 80.2366636 12.98618, 80.23708379999999 12.9861796, 80.2370839 12.9862331, 80.23715350000001 12.9862331, 80.2371534 12.9861795, 80.2376143 12.9861791))",POINT (80.2370805 12.9859511),5914.8,63666.5,37,63.66637723392,63.66637723392
,53,30037276.0,,,,garden,,"POLYGON ((80.2366988 12.9861187, 80.2367003 12.9857987, 80.23752639999999 12.9858025, 80.2375249 12.9861225, 80.2366988 12.9861187))",POINT (80.2371126 12.9859606),3170.4,34125.7,37,3.4125901532160006,3.4125901532160006
,54,30037277.0,,,,garden,,"POLYGON ((80.2365057 12.9850296, 80.23650720000001 12.9847095, 80.2373334 12.9847134, 80.2373319 12.9850334, 80.2365057 12.9850296))",POINT (80.2369195 12.9848715),3171.3,34135.3,45,3.413558905152,3.413558905152
Saraswathi,55,30037278.0,,yes,,,,"POLYGON ((80.2374212 12.98509, 80.2374208 12.9846334, 80.23696839999999 12.9846338, 80.23696839999999 12.9845815, 80.23688540000001 12.9845816, 80.23688540000001 12.9846339, 80.23647010000001 12.9846343, 80.2364702 12.9847128, 80.2363015 12.984713, 80.23630180000001 12.9850156, 80.2364705 12.9850154, 80.2364706 12.9850909, 80.2368908 12.9850905, 80.2368908 12.985144, 80.2369605 12.9851439, 80.2369604 12.9850904, 80.2374212 12.98509))",POINT (80.2368874 12.984862),5914.7,63664.8,45,63.66530084288,63.66530084288
Narmada,56,30037279.0,,yes,,,,"POLYGON ((80.2358308 12.9858852, 80.2358304 12.9854286, 80.235378 12.985429, 80.235378 12.9853768, 80.23529499999999 12.9853768, 80.23529499999999 12.9854291, 80.23487969999999 12.9854295, 80.2348798 12.985508, 80.2347111 12.9855082, 80.23471139999999 12.9858108, 80.2348801 12.9858106, 80.2348801 12.9858861, 80.2353004 12.9858857, 80.2353004 12.9859392, 80.23537 12.9859391, 80.23537 12.9858856, 80.2358308 12.9858852))",POINT (80.235297 12.9856572),5914.6,63664.2,37,63.664224451840006,63.664224451840006
Narmada,57,30037280.0,,,,garden,,"POLYGON ((80.2349153 12.9858248, 80.23491679999999 12.9855048, 80.235743 12.9855086, 80.2357415 12.9858286, 80.2349153 12.9858248))",POINT (80.2353291 12.9856667),3170.8,34129.9,37,3.4130207096320007,3.4130207096320007
,58,30037282.0,,,,garden,,"POLYGON ((80.23470210000001 12.984803, 80.2347036 12.984483, 80.23552979999999 12.9844868, 80.2355283 12.9848068, 80.23470210000001 12.984803))",POINT (80.2351159 12.9846449),3170.8,34130.0,45,3.4130207096320007,3.4130207096320007
Tapti,59,30037284.0,,yes,,,,"POLYGON ((80.2356176 12.9848634, 80.23561719999999 12.9844068, 80.23516480000001 12.9844072, 80.2351647 12.984355, 80.23508169999999 12.9843551, 80.2350818 12.9844073, 80.2346665 12.9844077, 80.2346665 12.9844862, 80.2344978 12.9844864, 80.2344981 12.984789, 80.2346668 12.9847888, 80.23466689999999 12.9848643, 80.2350871 12.9848639, 80.2350872 12.9849174, 80.2351334 12.9849174, 80.2351568 12.9849174, 80.2351568 12.9848638, 80.2356176 12.9848634))",POINT (80.2350838 12.9846354),5915.1,63669.6,45,63.66960640704,63.66960640704
Brahmaputra,60,30037285.0,,yes,,,,"POLYGON ((80.2352844 12.9840504, 80.23528399999999 12.9835938, 80.23483160000001 12.9835942, 80.2348315 12.983542, 80.23474849999999 12.9835421, 80.2347486 12.9835943, 80.2343333 12.9835947, 80.2343334 12.9836733, 80.23416469999999 12.9836734, 80.2341649 12.983976, 80.2343336 12.9839759, 80.23433369999999 12.9840513, 80.2347539 12.9840509, 80.234754 12.9841045, 80.2348236 12.9841044, 80.23480669999999 12.9840416, 80.2352844 12.9840504))",POINT (80.2347496 12.9838213),5884.0,63335.3,44,63.3348487936,63.3348487936
,61,30037286.0,,,,garden,,"POLYGON ((80.23436890000001 12.98399, 80.2343704 12.98367, 80.23519659999999 12.9836739, 80.2351951 12.9839939, 80.23436890000001 12.98399))",POINT (80.2347827 12.9838319),3170.8,34130.1,44,3.4130207096320007,3.4130207096320007
Hockey Ground,62,30037405.0,,,,pitch,,"POLYGON ((80.2283635 12.9886229, 80.22834349999999 12.9877234, 80.22887420000001 12.9877123, 80.2288942 12.9886118, 80.2283635 12.9886229))",POINT (80.2286189 12.9881676),5727.5,61650.7,35,6.165029681600001,6.165029681600001
Football Ground,63,30037408.0,,,,pitch,,"POLYGON ((80.2271051 12.9885716, 80.2277062 12.9885572, 80.22768309999999 12.9876484, 80.2270821 12.9876629, 80.2271051 12.9885716))",POINT (80.2273941 12.98811),6554.4,70551.4,35,7.055097432576,7.055097432576
Hostel Management Office,64,30038501.0,,yes,,,,"POLYGON ((80.2374937 12.9874158, 80.23764559999999 12.9874158, 80.23764559999999 12.9870679, 80.2374937 12.9870679, 80.2374937 12.9874158))",POINT (80.2375696 12.9872419),633.8,6821.8,37,6.8221664115200005,6.8221664115200005
