mvmt_id,osm_node_id,node_id,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,signal_phase_num,ring,barrier,stage_no,timing_plan_id,green_time_window,green_time,cycle_length,start_green_time,end_green_time,red_time,capacity,v_over_c,mvmt_txt_id,protection,osm_web_address,geometry
257,319489540_1183430691_246866721,151,96,217,6450947190,310535870_30268467_310102882,3,1,2,2,0,000059_000114,15,90,59,74,16,356.3954505686789,0.2946165553809898,EBL,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2517004 12.9864315)"
256,319489540_1183430691_246866721,151,96,4,6450947190,6450947189,4,1,2,3,0,000114_000129,15,90,74,89,1,371.35608048993873,0.2962116571643971,EBR,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2516808 12.9862642)"
253,319489540_1183430691_246866721,151,76,4,246866725,6450947189,5,2,1,1,0,000000_000059,59,90,0,59,31,742.6928174551916,0.1413774275612069,NBL,permissive,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2516808 12.9862642)"
254,319489540_1183430691_246866721,151,76,217,246866725,310535870_30268467_310102882,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,NBT,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2517004 12.9864315)"
252,319489540_1183430691_246866721,151,76,210,246866725,319489535,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,NBR,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2518161 12.9863828)"
249,319489540_1183430691_246866721,151,215,210,1676204874,319489535,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,SBT,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517818 12.9865235, 80.2518161 12.9863828)"
251,319489540_1183430691_246866721,151,215,217,1676204874,310535870_30268467_310102882,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,SBR,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517818 12.9865235, 80.2517004 12.9864315)"
258,243051703_312031412,152,87,88,249493615,249493599,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,EBT,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2515624 13.0068108, 80.2517065 13.0067800)"
260,243051703_312031412,152,87,42,249493615,1183401915,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,EBR,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2515624 13.0068108, 80.2516175 13.0066742)"
264,243051703_312031412,152,41,14,249497656,257432748,5,2,1,1,0,000000_000059,59,90,0,59,31,742.6928174551916,0.1413774275612069,WBL,permissive,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2516886 13.0065868)"
265,243051703_312031412,152,41,42,249497656,1183401915,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,WBT,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2516175 13.0066742)"
263,243051703_312031412,152,41,88,249497656,249493599,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,WBR,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2517065 13.0067800)"
262,243051703_312031412,152,15,42,257432748,1183401915,7,2,2,2,0,000059_000114,15,90,59,74,16,356.3954505686789,0.2946165553809898,NBL,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2516886 13.0065868, 80.2516175 13.0066742)"
261,243051703_312031412,152,15,88,257432748,249493599,8,2,2,3,0,000114_000129,15,90,74,89,1,371.35608048993873,0.2962116571643971,NBR,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2516886 13.0065868, 80.2517065 13.0067800)"
270,1454664555_4113412285_338470503_1454664553,153,59,105,338466259,338470506,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,EBT,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2430801 12.9813695, 80.2433390 12.9813686)"
271,1454664555_4113412285_338470503_1454664553,153,59,103,338466259,1454664548,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,EBR,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2430801 12.9813695, 80.2432704 12.9812079)"
274,1454664555_4113412285_338470503_1454664553,153,62,103,246866969,1454664548,5,2,1,1,0,000000_000059,59,90,0,59,31,742.6928174551916,0.1413774275612069,WBL,permissive,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2432704 12.9812079)"
272,1454664555_4113412285_338470503_1454664553,153,62,104,246866969,251296646,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,WBT,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2430877 12.9812815)"
273,1454664555_4113412285_338470503_1454664553,153,62,105,246866969,338470506,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,WBR,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2433390 12.9813686)"
266,1454664555_4113412285_338470503_1454664553,153,20,104,1454664551,251296646,7,2,2,2,0,000059_000114,15,90,59,74,16,356.3954505686789,0.2946165553809898,NBL,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2431658 12.9812049, 80.2430877 12.9812815)"
268,1454664555_4113412285_338470503_1454664553,153,20,103,1454664551,1454664548,8,2,2,3,0,000114_000129,15,90,74,89,1,371.35608048993873,0.2962116571643971,NBR,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2431658 12.9812049, 80.2432704 12.9812079)"
275,310102870_312031374,154,205,139,243051152,1183401857,2,1,1,1,0,000000_000130,90,90,0,90,0,1942.2222222222224,0.1596109839816933,EBT,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2473906 13.0067701, 80.2475380 13.0067705)"
277,310102870_312031374,154,205,92,243051152,6816790397,2,1,1,1,0,000000_000130,90,90,0,90,0,1942.2222222222224,0.0566361556064073,EBR,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2473906 13.0067701, 80.2473796 13.0066475)"
279,310102870_312031374,154,91,46,6816790401,6816790398,5,2,1,1,0,000000_000130,90,90,0,90,0,1110.5225082091706,0.0945500872101395,WBL,permissive,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2474531 13.0065754)"
280,310102870_312031374,154,91,92,6816790401,6816790397,6,2,1,1,0,000000_000130,90,90,0,90,0,1942.2222222222224,0.1596109839816933,WBT,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2473796 13.0066475)"
278,310102870_312031374,154,91,139,6816790401,1183401857,6,2,1,1,0,000000_000130,90,90,0,90,0,1942.2222222222224,0.0566361556064073,WBR,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2475380 13.0067705)"
289,310535870_30268467_310102882,155,84,138,1676204892,1676204874,7,2,2,2,0,000059_000114,15,90,59,74,16,356.3954505686789,0.2946165553809898,WBL,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2515119 12.9878324, 80.2514590 12.9877604)"
288,310535870_30268467_310102882,155,84,134,1676204892,5562486549,8,2,2,3,0,000114_000129,15,90,74,89,1,371.35608048993873,0.2962116571643971,WBR,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2515119 12.9878324, 80.2513067 12.9879115)"
285,310535870_30268467_310102882,155,217,134,319489540_1183430691_246866721,5562486549,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,NBT,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2513423 12.9877711, 80.2513067 12.9879115)"
286,310535870_30268467_310102882,155,217,138,319489540_1183430691_246866721,1676204874,6,2,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,NBR,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2513423 12.9877711, 80.2514590 12.9877604)"
281,310535870_30268467_310102882,155,48,140,5562486548,1183401849,1,1,1,1,0,000000_000059,59,90,0,59,31,742.6928174551916,0.1413774275612069,SBL,permissive,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2514010 12.9879891, 80.2514915 12.9879301)"
283,310535870_30268467_310102882,155,48,138,5562486548,1676204874,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.238660703460725,SBT,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2514010 12.9879891, 80.2514590 12.9877604)"
282,310535870_30268467_310102882,155,48,134,5562486548,5562486549,2,1,1,1,0,000000_000059,59,90,0,59,31,1298.915135608049,0.0846860560667088,SBR,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2514010 12.9879891, 80.2513067 12.9879115)"
