name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,28,544174642,,yes,,,"POLYGON ((-79.9406362 40.4462754, -79.94064109999999 40.4463294, -79.94055729999999 40.4463338, -79.9405508 40.4462623, -79.9406338 40.446258, -79.9406362 40.4462754))",POINT (-79.94059590000001 40.4462959),56.2,604.8
,29,544173841,,yes,,,"POLYGON ((-79.93738430000001 40.4417156, -79.9374205 40.4417669, -79.9373341 40.4418024, -79.9372979 40.4417511, -79.93738430000001 40.4417156))",POINT (-79.9373592 40.441759),54.0,581.4
,30,544174164,,yes,,,"POLYGON ((-79.937641 40.444129, -79.93772939999999 40.4442194, -79.9376697 40.4442535, -79.93758130000001 40.4441631, -79.937641 40.444129))",POINT (-79.9376554 40.4441913),78.5,845.0
Tepper Quad,31,583510520,,university,,,"POLYGON ((-79.94534229999999 40.4447053, -79.94610539999999 40.44471, -79.9461222 40.4449508, -79.9461259 40.4450034, -79.94571689999999 40.4450098, -79.94552950000001 40.445288, -79.94545170000001 40.4452647, -79.94526310000001 40.4455698, -79.9452045 40.4455718, -79.94475319999999 40.4455873, -79.94501390000001 40.445177, -79.9451117 40.4450377, -79.9452043 40.4449112, -79.94534229999999 40.4447053))",POINT (-79.9454289 40.4450892),5368.4,57785.0
,32,544173836,,yes,,,"POLYGON ((-79.9379752 40.440095, -79.938062 40.4401612, -79.9379965 40.4402114, -79.9379096 40.4401452, -79.9379752 40.440095))",POINT (-79.93798580000001 40.4401532),82.2,885.1
,33,544174666,,yes,,,"POLYGON ((-79.9435383 40.4464362, -79.94364299999999 40.4464349, -79.9436451 40.4465303, -79.9435331 40.4465317, -79.9435326 40.4465073, -79.9434179 40.4465087, -79.94341679999999 40.4464556, -79.9435387 40.4464541, -79.9435383 40.4464362))",POINT (-79.943547 40.4464829),156.9,1689.3
Donner House,34,27591346,,university,,,"POLYGON ((-79.94017270000001 40.4419795, -79.93976019999999 40.4421495, -79.9396876 40.4420474, -79.9397123 40.4420373, -79.94008719999999 40.4418812, -79.9400308 40.4418027, -79.9401654 40.4417467, -79.9402577 40.4418751, -79.9402654 40.4418719, -79.9406268 40.4417214, -79.94065620000001 40.4417622, -79.94067010000001 40.4417564, -79.9406851 40.4417503, -79.9407332 40.4418179, -79.9402108 40.4420331, -79.94017270000001 40.4419795))",POINT (-79.94020279999999 40.4419202),1388.0,14940.3
Orient Express,35,172658860,,retail,fast_food,,"POLYGON ((-79.9482364 40.4447978, -79.94814909999999 40.4448009, -79.94813720000001 40.4445617, -79.94822480000001 40.444558, -79.94823599999999 40.4447915, -79.9482364 40.4447978))",POINT (-79.9481869 40.4446795),198.9,2140.6
,36,544173931,,yes,,,"POLYGON ((-79.9365025 40.4444428, -79.9365516 40.4445093, -79.9365133 40.4445258, -79.9364643 40.4444592, -79.9365025 40.4444428))",POINT (-79.9365079 40.4444843),31.9,343.7
,37,544174100,,yes,,,"POLYGON ((-79.93749819999999 40.4437845, -79.93745560000001 40.4437622, -79.93757069999999 40.4436338, -79.9376583 40.4436797, -79.937591 40.4437548, -79.9376166 40.4437682, -79.93756879999999 40.4438215, -79.93749819999999 40.4437845))",POINT (-79.9375594 40.4437282),175.0,1884.0
,38,544174033,,yes,,,"POLYGON ((-79.9377131 40.4418064, -79.9377435 40.4418474, -79.9376936 40.441869, -79.9376632 40.441828, -79.9377131 40.4418064))",POINT (-79.9377034 40.4418377),25.1,270.6
,39,544174058,,yes,,,"POLYGON ((-79.9372968 40.4425993, -79.9374352 40.4427455, -79.9373057 40.442817, -79.9371673 40.4426708, -79.9372968 40.4425993))",POINT (-79.9373013 40.4427082),272.6,2933.8
,40,331173863,,,parking,,"POLYGON ((-79.94873819999999 40.4425366, -79.9487117 40.4424724, -79.948673 40.4423786, -79.9484258 40.4424524, -79.9484617 40.442527, -79.94849309999999 40.4425923, -79.94873819999999 40.4425366))",POINT (-79.9485845 40.4424889),386.0,4154.9
,41,27574335,,,parking,,"POLYGON ((-79.94292489999999 40.4421197, -79.9428516 40.4421046, -79.9420032 40.4419294, -79.9420271 40.4418624, -79.9420537 40.4417878, -79.9427038 40.4419221, -79.9427288 40.441904, -79.94298310000001 40.4419565, -79.94292489999999 40.4421197))",POINT (-79.9425043 40.4419532),1377.7,14829.1
,42,544173804,,yes,,,"POLYGON ((-79.9377507 40.4402561, -79.9378068 40.4402989, -79.9377559 40.4403379, -79.9376998 40.4402951, -79.9377507 40.4402561))",POINT (-79.9377533 40.440297),41.3,444.6
,43,543159692,,yes,,,"POLYGON ((-79.9473666 40.4460222, -79.94737619999999 40.4461017, -79.94734200000001 40.4461041, -79.94733239999999 40.4460246, -79.9473666 40.4460222))",POINT (-79.9473543 40.4460632),25.9,278.4
,44,543159691,,yes,,,"POLYGON ((-79.948132 40.4453966, -79.9481432 40.4454804, -79.94806440000001 40.4454865, -79.9480533 40.4454027, -79.948132 40.4453966))",POINT (-79.9480982 40.4454416),62.5,672.9
,45,544173587,,yes,,,"POLYGON ((-79.93789839999999 40.4432777, -79.93797600000001 40.4433596, -79.9377875 40.4434637, -79.93771 40.4433818, -79.93789839999999 40.4432777))",POINT (-79.937843 40.4433707),221.1,2380.2
,46,27551287,,,parking,,"POLYGON ((-79.9467705 40.4421337, -79.9464796 40.4420725, -79.9465795 40.4417975, -79.94687039999999 40.4418587, -79.9467705 40.4421337))",POINT (-79.946675 40.4419656),809.3,8711.1
,47,313330278,,,parking,,"POLYGON ((-79.9480839 40.4452688, -79.94805959999999 40.4449561, -79.9474256 40.4450048, -79.947472 40.4452923, -79.9480839 40.4452688))",POINT (-79.9477643 40.4451293),1771.7,19070.5
Collaborative Innovation Center,48,27591069,,university,,,"POLYGON ((-79.9463746 40.4436215, -79.94680839999999 40.4437142, -79.9468638 40.443726, -79.94670929999999 40.4443074, -79.94660159999999 40.444313, -79.94633159999999 40.444327, -79.94633159999999 40.4443008, -79.9462887 40.4443008, -79.9462801 40.4442094, -79.9463059 40.4442094, -79.9462716 40.4438371, -79.9463145 40.4438371, -79.94633159999999 40.4437979, -79.9462973 40.4437848, -79.9463746 40.4436215))",POINT (-79.9465391 40.4439787),2994.0,32226.6
,49,544174407,,yes,,,"POLYGON ((-79.9377135 40.4422362, -79.93776130000001 40.4422975, -79.9375529 40.4423924, -79.9375051 40.4423311, -79.9377135 40.4422362))",POINT (-79.93763319999999 40.4423143),162.4,1747.6
,50,27592176,,,parking,,"POLYGON ((-79.9395239 40.4443221, -79.9395732 40.4441702, -79.9388247 40.4440432, -79.9387729 40.4441948, -79.9395239 40.4443221))",POINT (-79.9391736 40.4441826),1129.1,12153.6
