name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,26,386278654,,roof,,,"POLYGON ((-111.9291989 33.4277844, -111.9291919 33.4272046, -111.9283065 33.427212, -111.9283134 33.4277918, -111.9291989 33.4277844))",POINT (-111.9287527 33.4274982),5292.5,56967.4
Southwest Institute of Healing Arts,27,592895794,,yes,,,"POLYGON ((-111.9227317 33.4155803, -111.922734 33.4150783, -111.9226833 33.4150781, -111.9226832 33.4150956, -111.9223951 33.4150946, -111.9223952 33.4150681, -111.9222284 33.4150675, -111.9222277 33.4152141, -111.9222142 33.4152141, -111.9222139 33.4152859, -111.9222674 33.4152861, -111.922266 33.4155777, -111.9223969 33.4155781, -111.9223967 33.4156119, -111.9225823 33.4156125, -111.9225824 33.4155798, -111.9227317 33.4155803))",POINT (-111.9224882 33.415333),2533.3,27268.4
,28,552419477,,,fountain,,"POLYGON ((-111.9379449 33.4155777, -111.9379763 33.4155631, -111.9379917 33.4155616, -111.9380165 33.4155656, -111.9380384 33.4155777, -111.9380506 33.4155918, -111.9380578 33.4156168, -111.9380576 33.4156207, -111.9380519 33.4156396, -111.9380385 33.4156558, -111.9380179 33.4156675, -111.9379917 33.415672, -111.9379707 33.4156691, -111.9379449 33.4156558, -111.9379326 33.4156394, -111.9379255 33.4156168, -111.9379314 33.4155941, -111.9379449 33.4155777))",POINT (-111.9379919 33.4156168),114.5,1232.9
,29,28740177,,,parking,,"POLYGON ((-111.9278255 33.4255339, -111.9277911 33.4245968, -111.9282497 33.4245857, -111.9282548 33.4248492, -111.928272 33.4253649, -111.9282778 33.4255371, -111.9282393 33.425537, -111.9278552 33.4255357, -111.9278255 33.4255339))",POINT (-111.9280358 33.4250628),4422.2,47600.1
The Crêpe Club,30,574632563,,yes,cafe,,"POLYGON ((-111.9318523 33.4205105, -111.9318523 33.4204769, -111.9319113 33.4204769, -111.9319113 33.4204393, -111.9318483 33.4204393, -111.9318483 33.4204158, -111.9317831 33.4204158, -111.9317831 33.4205105, -111.9318523 33.4205105))",POINT (-111.9318337 33.4204622),89.4,961.8
College of Design North,31,28822451,,yes,,,"POLYGON ((-111.9367504 33.4213323, -111.9373514 33.4213323, -111.9373514 33.4217622, -111.9367504 33.4217622, -111.9367504 33.4213323))",POINT (-111.9370509 33.4215473),2660.8,28641.0
,32,30407997,,yes,,,"POLYGON ((-111.9294116 33.4153314, -111.9294116 33.415138, -111.9295833 33.415138, -111.9295833 33.4152741, -111.9296691 33.4152741, -111.9296691 33.4149947, -111.9292485 33.4149947, -111.9292485 33.4153314, -111.9294116 33.4153314))",POINT (-111.9294384 33.4151334),1067.1,11486.6
Tower Center,33,28822439,,yes,,,"POLYGON ((-111.937664 33.4215205, -111.9379558 33.4215205, -111.9379558 33.4216637, -111.9378872 33.4216637, -111.9378872 33.4217855, -111.9377413 33.4217855, -111.9377413 33.4215778, -111.937664 33.4215778, -111.937664 33.4215205))",POINT (-111.9378248 33.421633),542.0,5834.4
,34,65405079,,,bus_station,,"POLYGON ((-111.9365698 33.4159545, -111.9366235 33.4159544, -111.9366121 33.4151484, -111.9365698 33.4151485, -111.9365698 33.4159545))",POINT (-111.9365939 33.4155674),397.6,4280.1
,35,386274033,,roof,,,"POLYGON ((-111.9346846 33.4155216, -111.9333735 33.4155441, -111.9333671 33.4150403, -111.9346805 33.4150336, -111.9346846 33.4155216))",POINT (-111.9340229 33.4152849),6710.8,72234.4
Wilson Hall,36,28822669,,yes,,,"POLYGON ((-111.9363981 33.41845, -111.9355039 33.4184584, -111.9355039 33.4185818, -111.9359599 33.4185767, -111.9359568 33.4186204, -111.9364159 33.4186127, -111.9363981 33.41845))",POINT (-111.9359876 33.4185275),1336.5,14386.0
,37,257051833,,yes,,,"POLYGON ((-111.940491 33.425326, -111.9402344 33.4253281, -111.9402319 33.4251177, -111.9401734 33.4251182, -111.9401658 33.424489, -111.940534 33.4244859, -111.9405358 33.4246383, -111.9404734 33.4246389, -111.9404749 33.4247608, -111.94032 33.4247621, -111.9403206 33.4248104, -111.9404076 33.4248097, -111.9404087 33.4249024, -111.9406752 33.4249002, -111.9406764 33.4249951, -111.9403761 33.4249976, -111.9403763 33.4250195, -111.9404873 33.4250186, -111.940491 33.425326))",POINT (-111.9403503 33.4248897),2680.1,28848.0
Orchidhouse (Brickyard),38,157628508,,yes,,,"POLYGON ((-111.9392745 33.4241834, -111.9382499 33.4241879, -111.9382552 33.4238029, -111.9384269 33.4237939, -111.9384376 33.4239193, -111.9387595 33.4239238, -111.9387649 33.4238253, -111.9388131 33.4237805, -111.9390224 33.4237805, -111.9390867 33.4238342, -111.9390867 33.4239506, -111.9392745 33.4239551, -111.9392745 33.4241834))",POINT (-111.9387472 33.424017),3393.8,36530.8
Verde Dickey Dome,39,30421119,,yes,,,"POLYGON ((-111.9242815 33.4246323, -111.9257665 33.4246323, -111.9257665 33.4253629, -111.9246155 33.4253629, -111.9242815 33.4253629, -111.9242815 33.4246323))",POINT (-111.925024 33.4249976),11186.1,120406.1
,40,543992495,,,fountain,,"POLYGON ((-111.9414308 33.4237298, -111.9416384 33.42354, -111.9411973 33.4235515, -111.9414308 33.4237298))",POINT (-111.9414222 33.4236071),418.9,4509.2
,41,634360028,,,parking,,"POLYGON ((-111.9417112 33.4218184, -111.9418242 33.4218174, -111.9418191 33.4213228, -111.9418026 33.4213196, -111.9417595 33.4212815, -111.9417557 33.4212529, -111.941342 33.4212529, -111.9413446 33.4215632, -111.9413826 33.4215473, -111.941592 33.4215463, -111.9415869 33.4213567, -111.9416663 33.421419, -111.9416986 33.4214446, -111.9417379 33.421433, -111.9417379 33.4217263, -111.9417112 33.4218184))",POINT (-111.9415994 33.4214416),1456.6,15678.3
Jerry's Liquors,42,593220660,,yes,,,"POLYGON ((-111.9261108 33.4154163, -111.9261097 33.4153247, -111.9259899 33.4153257, -111.9259896 33.4153027, -111.92591 33.4153033, -111.9259103 33.4153237, -111.9258216 33.4153245, -111.9258226 33.4154097, -111.9260769 33.4154076, -111.926077 33.4154166, -111.9261108 33.4154163))",POINT (-111.9259656 33.4153637),269.5,2900.8
,43,552633169,,,bicycle_parking,,"POLYGON ((-111.9326613 33.420732, -111.9326095 33.4207322, -111.9326085 33.4205884, -111.9326604 33.4205882, -111.9326613 33.420732))",POINT (-111.9326349 33.4206602),76.3,821.5
Centerpoint,44,157628483,,yes,parking,,"POLYGON ((-111.9416929 33.423306, -111.9415819 33.4227673, -111.9415722 33.4227202, -111.9416306 33.4227118, -111.9416204 33.4226625, -111.9417529 33.4226436, -111.9421031 33.4225932, -111.9421143 33.4226475, -111.9421646 33.4226402, -111.9422968 33.423282, -111.94225 33.4232887, -111.9422542 33.4233091, -111.9422593 33.4233337, -111.9417147 33.4234119, -111.9416929 33.423306))",POINT (-111.9419334 33.4230019),4571.6,49208.0
,45,544161318,,,parking,,"POLYGON ((-111.9334204 33.4213187, -111.9333667 33.4213184, -111.9333533 33.4213183, -111.9333511 33.4215398, -111.9334182 33.4215403, -111.9334204 33.4213187))",POINT (-111.9333858 33.4214293),152.3,1639.2
,46,552634942,,,fountain,,"POLYGON ((-111.9340951 33.4170921, -111.9341082 33.4170998, -111.9341174 33.4171107, -111.9341218 33.4171235, -111.9341208 33.4171368, -111.9341145 33.4171491, -111.9341037 33.4171589, -111.9340904 33.417165, -111.9340756 33.4171672, -111.9340606 33.4171654, -111.9340471 33.4171598, -111.9340364 33.4171508, -111.9340297 33.4171396, -111.9340275 33.4171271, -111.9340301 33.4171147, -111.9340373 33.4171036, -111.9340491 33.4170946, -111.9340638 33.4170893, -111.9340797 33.4170885, -111.9340951 33.4170921))",POINT (-111.9340747 33.4171277),59.7,643.1
Memorial Union,47,28822637,,yes,community_centre,,"POLYGON ((-111.9339228 33.4172055, -111.9347888 33.4172055, -111.9347888 33.4175422, -111.9347208 33.4175422, -111.9347208 33.4175923, -111.9347888 33.4175923, -111.9347888 33.4178431, -111.9346608 33.4178431, -111.9346608 33.4180222, -111.9347978 33.4180222, -111.9347978 33.4182085, -111.9346518 33.4182085, -111.9346518 33.4181655, -111.9344548 33.4181655, -111.9344548 33.4182085, -111.9342308 33.4182085, -111.9342308 33.4181726, -111.9339738 33.4181726, -111.9339738 33.4176067, -111.9339228 33.4176067, -111.9339228 33.4172055))",POINT (-111.9343609 33.4176835),8203.9,88306.1
,48,339640693,,,parking,,"POLYGON ((-111.9370096 33.4140873, -111.9366503 33.4140918, -111.9366503 33.4144321, -111.936712 33.4144635, -111.9370109 33.4144569, -111.9370096 33.4140873))",POINT (-111.9368312 33.414274),1368.8,14733.7
,49,257007828,,yes,,,"POLYGON ((-111.9280221 33.413528, -111.9278863 33.4135279, -111.9278869 33.4129839, -111.9280307 33.412984, -111.9280306 33.4130801, -111.9279773 33.41308, -111.9279772 33.4131651, -111.9280684 33.4131651, -111.9280683 33.4132336, -111.9279732 33.4132335, -111.9279732 33.4132872, -111.9280762 33.4132873, -111.9280761 33.4133619, -111.9279445 33.4133618, -111.9279444 33.4134558, -111.9280222 33.4134559, -111.9280221 33.413528))",POINT (-111.9279578 33.4132458),700.8,7543.0
Parking permit 44,50,29736047,,,parking,,"POLYGON ((-111.9280781 33.4172275, -111.9282305 33.4172267, -111.9285253 33.4172263, -111.9287471 33.4172272, -111.9287445 33.4176667, -111.9283891 33.4176652, -111.9280781 33.4176652, -111.9280781 33.4172275))",POINT (-111.9284122 33.417446),3020.7,32514.1
Piper Writers House,51,30406737,,yes,,,"POLYGON ((-111.9329502 33.4204536, -111.9331328 33.420453, -111.9331335 33.4205994, -111.9331096 33.4205995, -111.9331098 33.4206388, -111.9330477 33.420639, -111.9330475 33.4205975, -111.9330243 33.4205976, -111.9329509 33.4205978, -111.9329502 33.4204536))",POINT (-111.9330453 33.4205338),299.1,3219.6
Fire Station 6,52,230586053,,yes,fire_station,,"POLYGON ((-111.9424022 33.423438, -111.9425291 33.4235942, -111.9425671 33.4235915, -111.9427067 33.4237715, -111.9425988 33.4238271, -111.9425671 33.423806, -111.9424529 33.423851, -111.9424022 33.423806, -111.9423387 33.4238324, -111.9422848 33.4237504, -111.9423514 33.4237186, -111.9422214 33.4235359, -111.9421896 33.4235412, -111.9421484 33.4235015, -111.9423134 33.42343, -111.9423387 33.4234565, -111.9424022 33.423438))",POINT (-111.9424313 33.4236501),1187.1,12777.9
