name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,2203,544161322,1310,771,1,19.82454206,1,5,,footway,9,"LINESTRING (-111.933537 33.4211529, -111.9333234 33.4211544)",walk,0,0,,
,2204,544161323,772,773,1,13.82977919,1,5,,footway,9,"LINESTRING (-111.9329039 33.4228035, -111.9330529 33.4228016)",walk,0,0,,
,2205,544161323,773,783,1,38.23141084,1,5,,footway,9,"LINESTRING (-111.9330529 33.4228016, -111.9330691 33.4227702, -111.9331111 33.4226956, -111.9331229 33.4226138, -111.9331033 33.422533, -111.9330663 33.4224788)",walk,0,0,,
,2206,544161323,783,775,1,7.946079171,1,5,,footway,9,"LINESTRING (-111.9330663 33.4224788, -111.9330544 33.4224614, -111.9330086 33.422427)",walk,0,0,,
,2207,544161323,775,72,1,26.73157204,1,5,,footway,9,"LINESTRING (-111.9330086 33.422427, -111.932981 33.4224062, -111.9328916 33.4223659, -111.9328422 33.4223554, -111.9327912 33.4223549, -111.9327444 33.4223604)",walk,0,0,,
,2208,544161323,72,777,1,13.54479106,1,5,,footway,9,"LINESTRING (-111.9327444 33.4223604, -111.9326861 33.4223813, -111.9326163 33.422418)",walk,0,0,,
,2209,544161323,777,781,1,7.951689357,1,5,,footway,9,"LINESTRING (-111.9326163 33.422418, -111.9326003 33.4224347, -111.9325641 33.4224747)",walk,0,0,,
,2210,544161323,781,774,1,40.20217061,1,5,,footway,9,"LINESTRING (-111.9325641 33.4224747, -111.9325363 33.4225054, -111.9325045 33.42259, -111.9325088 33.4226785, -111.9325485 33.4227607, -111.932582 33.4228106)",walk,0,0,,
,2211,544161323,774,772,1,33.24632737,1,5,,footway,9,"LINESTRING (-111.932582 33.4228106, -111.9327305 33.4228084, -111.9327652 33.4227734, -111.9328153 33.4227637, -111.9328682 33.4227753, -111.9328871 33.4227903, -111.9329039 33.4228035)",walk,0,0,,
,2212,544161324,775,786,1,23.63115915,1,5,,footway,9,"LINESTRING (-111.9330086 33.422427, -111.9331432 33.4222466)",walk,0,0,,
,2213,544161324,786,776,1,17.46707729,1,5,,footway,9,"LINESTRING (-111.9331432 33.4222466, -111.9332378 33.4221108)",walk,0,0,,
,2214,544161325,777,780,1,21.23400596,1,5,,footway,9,"LINESTRING (-111.9326163 33.422418, -111.9324864 33.4222608)",walk,0,0,,
,2215,544161325,780,778,1,18.94552565,1,5,,footway,9,"LINESTRING (-111.9324864 33.4222608, -111.9323718 33.4221198)",walk,0,0,,
,2216,544161326,779,780,1,26.57621314,1,5,,footway,9,"LINESTRING (-111.9322127 33.4223304, -111.9322846 33.4223076, -111.9324864 33.4222608)",walk,0,0,,
,2217,544161327,781,782,1,59.11592562,1,5,,footway,9,"LINESTRING (-111.9325641 33.4224747, -111.9326861 33.4229965)",walk,0,0,,
,2218,544161328,783,820,1,87.64953053,1,5,,footway,9,"LINESTRING (-111.9330663 33.4224788, -111.9335318 33.4224676, -111.9336573 33.4225834, -111.9336856 33.4226935, -111.9336882 33.4228243)",walk,0,0,,
,2219,544161329,773,820,1,59.90791571,1,5,,footway,9,"LINESTRING (-111.9330529 33.4228016, -111.9330893 33.4228259, -111.9336882 33.4228243)",walk,0,0,,
,2220,544161329,820,784,1,7.498835832,1,5,,footway,9,"LINESTRING (-111.9336882 33.4228243, -111.933769 33.422824)",walk,0,0,,
,2221,544161330,774,785,1,48.35146658,1,5,,footway,9,"LINESTRING (-111.932582 33.4228106, -111.9325552 33.4228368, -111.9320755 33.4228402)",walk,0,0,,
,2222,544162059,786,787,1,27.56701929,1,5,,footway,9,"LINESTRING (-111.9331432 33.4222466, -111.9332442 33.4222856, -111.9334275 33.4223107)",walk,0,0,,
,2223,544162060,788,789,1,32.60355645,1,5,,footway,9,"LINESTRING (-111.9366584 33.4181178, -111.936328 33.4182174)",walk,0,0,,
,2224,544162060,789,790,1,49.92621308,1,5,,footway,9,"LINESTRING (-111.936328 33.4182174, -111.9357901 33.4182223)",walk,0,0,,
,2225,544162060,790,791,1,48.27064518,1,5,,footway,9,"LINESTRING (-111.9357901 33.4182223, -111.9353061 33.4183812)",walk,0,0,,
,2226,544162061,789,792,1,17.91777374,1,5,,footway,9,"LINESTRING (-111.936328 33.4182174, -111.936336 33.4183784)",walk,0,0,,
,2227,544162062,793,794,1,38.76831108,1,5,,footway,9,"LINESTRING (-111.938126 33.4177124, -111.9381332 33.418061)",walk,0,0,,
,2228,544162063,794,87,1,22.5622612,1,5,,footway,9,"LINESTRING (-111.9381332 33.418061, -111.9378905 33.4180726)",walk,0,0,,
,2229,544162064,794,766,1,38.40570472,1,5,,footway,9,"LINESTRING (-111.9381332 33.418061, -111.9383445 33.4182402, -111.9383485 33.4183341)",walk,0,0,,
,2230,544162065,790,795,1,31.65047549,1,5,,footway,9,"LINESTRING (-111.9357901 33.4182223, -111.9355283 33.4180399)",walk,0,0,,
,2231,544162065,795,1392,1,15.24640036,1,5,,footway,9,"LINESTRING (-111.9355283 33.4180399, -111.9356394 33.4179389)",walk,0,0,,
,2232,544162065,1392,1391,1,34.7104157,1,5,,footway,9,"LINESTRING (-111.9356394 33.4179389, -111.9359011 33.4177159)",walk,0,0,,
,2233,544162065,1391,1387,1,29.07403553,1,5,,footway,9,"LINESTRING (-111.9359011 33.4177159, -111.9359521 33.4176716, -111.9361228 33.4175312)",walk,0,0,,
,2234,544162065,1387,86,1,2.48800831,1,5,,footway,9,"LINESTRING (-111.9361228 33.4175312, -111.9361419 33.4175155)",walk,0,0,,
,2235,544241330,2251,669,1,19.24053505,1,30,,service,7,"LINESTRING (-111.9282527 33.4248556, -111.9282588 33.4249707, -111.9282607 33.4250285)",walk;bike,1,0,,
,2236,544241330,669,2251,1,19.24053505,1,30,,service,7,"LINESTRING (-111.9282607 33.4250285, -111.9282588 33.4249707, -111.9282527 33.4248556)",walk;bike,1,0,,
,2237,544241330,669,672,1,18.09861353,1,30,,service,7,"LINESTRING (-111.9282607 33.4250285, -111.9282662 33.4251912)",walk;bike,1,0,,
,2238,544241330,672,669,1,18.09861353,1,30,,service,7,"LINESTRING (-111.9282662 33.4251912, -111.9282607 33.4250285)",walk;bike,1,0,,
,2239,544241330,672,674,1,19.32205751,1,30,,service,7,"LINESTRING (-111.9282662 33.4251912, -111.928272 33.4253649)",walk;bike,1,0,,
,2240,544241330,674,672,1,19.32205751,1,30,,service,7,"LINESTRING (-111.928272 33.4253649, -111.9282662 33.4251912)",walk;bike,1,0,,
,2241,544241330,674,2250,1,19.80052798,1,30,,service,7,"LINESTRING (-111.928272 33.4253649, -111.9282778 33.4255371, -111.928278 33.4255429)",walk;bike,1,0,,
,2242,544241330,2250,674,1,19.80052798,1,30,,service,7,"LINESTRING (-111.928278 33.4255429, -111.9282778 33.4255371, -111.928272 33.4253649)",walk;bike,1,0,,
,2243,544241330,2250,953,1,272.0733556,1,30,,service,7,"LINESTRING (-111.928278 33.4255429, -111.9283437 33.4279891)",walk;bike,1,0,,
,2244,544241330,953,2250,1,272.0733556,1,30,,service,7,"LINESTRING (-111.9283437 33.4279891, -111.928278 33.4255429)",walk;bike,1,0,,
,2245,544241330,953,2309,1,34.57908235,1,30,,service,7,"LINESTRING (-111.9283437 33.4279891, -111.928352 33.4283)",walk;bike,1,0,,
,2246,544241330,2309,953,1,34.57908235,1,30,,service,7,"LINESTRING (-111.928352 33.4283, -111.9283437 33.4279891)",walk;bike,1,0,,
,2247,544241331,2251,668,1,17.93757022,1,30,,service,7,"LINESTRING (-111.9282527 33.4248556, -111.9282536 33.4247849, -111.9282518 33.4246943)",walk;bike,1,0,,
,2248,544241331,668,2251,1,17.93757022,1,30,,service,7,"LINESTRING (-111.9282518 33.4246943, -111.9282536 33.4247849, -111.9282527 33.4248556)",walk;bike,1,0,,
,2249,544241331,668,1918,1,16.97048164,1,30,,service,7,"LINESTRING (-111.9282518 33.4246943, -111.9282497 33.4245857, -111.9282489 33.4245417)",walk;bike,1,0,,
,2250,544241331,1918,668,1,16.97048164,1,30,,service,7,"LINESTRING (-111.9282489 33.4245417, -111.9282497 33.4245857, -111.9282518 33.4246943)",walk;bike,1,0,,
,2251,544241331,1918,671,1,8.374135106,1,30,,service,7,"LINESTRING (-111.9282489 33.4245417, -111.9282474 33.4244664)",walk;bike,1,0,,
,2252,544241331,671,1918,1,8.374135106,1,30,,service,7,"LINESTRING (-111.9282474 33.4244664, -111.9282489 33.4245417)",walk;bike,1,0,,
,2253,544243007,91,1913,1,53.6337986,1,30,,service,7,"LINESTRING (-111.930175 33.4213069, -111.9307529 33.4213066)",walk;bike,1,0,,
,2254,544243007,1913,91,1,53.6337986,1,30,,service,7,"LINESTRING (-111.9307529 33.4213066, -111.930175 33.4213069)",walk;bike,1,0,,
,2255,544243007,1913,796,1,18.90500878,1,30,,service,7,"LINESTRING (-111.9307529 33.4213066, -111.9309566 33.4213065)",walk;bike,1,0,,
,2256,544243007,796,1913,1,18.90500878,1,30,,service,7,"LINESTRING (-111.9309566 33.4213065, -111.9307529 33.4213066)",walk;bike,1,0,,
,2257,544243008,797,989,1,5.715788437,1,5,,footway,9,"LINESTRING (-111.9307608 33.421902, -111.9307601 33.4218506)",walk,0,0,,
,2258,544243008,989,1714,1,51.20839319,1,5,,footway,9,"LINESTRING (-111.9307601 33.4218506, -111.930754 33.4213901)",walk,0,0,,
,2259,544243008,1714,1913,1,9.285337607,1,5,,footway,9,"LINESTRING (-111.930754 33.4213901, -111.9307529 33.4213066)",walk,0,0,,
